family	has_parent	total_paralogs	paralogs_detected	supported	robust expression	parent correlated	low expression	unsupported	parent_mean_TPM	mean_paralog_TPM	paralog_parent_TPM_ratio	paralogs_parent correlated	parent_n_tissues
Grb2	True	1	1	0	0	1	0	0	50.1813	58.7600	1.1710	1	6
Gsdmc	True	1	1	1	0	0	0	0	7.2451	5.9242	0.8177	0	2
Gsta4	True	1	1	1	0	0	0	0	125.4350	64.2032	0.5118	0	6
Gsto1	True	1	1	0	0	1	0	0	605.4888	5173.1490	8.5438	1	6
Gstp1	True	1	1	0	0	1	0	0	5541.1844	6284.6823	1.1342	1	6
Gtf3c3	True	1	1	1	0	0	0	0	218.2116	1.4732	0.0068	0	6
Gvinp1	True	3	3	0	0	1	2	0	3.4929	16.2435	13.9515	1	6
Gzmb	True	15	7	0	0	0	7	8	6.5109	0.1381	0.3182	1	6
Gzmh	True	1	0	0	0	0	0	1	19.1892	0.0000	0.0000	0	6
H1-0	True	2	2	1	0	0	1	0	1.7973	83.4278	92.8350	0	6
H1-3	True	1	1	0	0	1	0	0	3284.3868	29.5938	0.0090	1	6
H2ab1	True	6	4	0	0	0	4	2	0.0000	0.6094	inf	0	0
H2ac18	True	1	1	0	0	1	0	0	291.8897	59.6272	0.2043	1	6
H2az1	True	1	1	0	0	1	0	0	448.2548	45.9509	0.1025	1	6
H2az2	True	2	2	1	0	0	1	0	87.9719	358.0087	8.1392	0	6
H2b-i	True	1	1	0	0	1	0	0	20.1954	160.4051	7.9427	1	6
H2bc12	True	1	1	0	0	1	0	0	45.1931	187.6322	4.1518	1	6
H2bc15	True	8	8	0	0	8	0	0	1726.9890	631.8049	2.9267	8	6
H3c15	True	7	7	1	0	6	0	0	889.2098	468.3755	3.6871	6	6
Hacd3	True	1	1	0	0	1	0	0	131.7700	1243.0953	9.4338	1	6
Hat1	True	1	1	1	0	0	0	0	24.8586	294.2366	11.8364	0	6
Haus4	True	1	1	0	0	1	0	0	215.4576	450.0492	2.0888	1	6
Hdac1	True	9	9	7	0	1	1	0	16.2689	3.9708	2.1966	2	6
Herc5	True	1	1	0	0	1	0	0	0.5251	37.7877	71.9672	1	6
Hesx1	True	1	1	0	0	0	1	0	11.4973	2.8696	0.2496	0	6
Hint1	True	2	2	0	0	2	0	0	1321.0811	740.6891	1.1213	2	6
Hipk2	True	1	1	1	0	0	0	0	34.9372	4.8470	0.1387	0	6
Hla-dpb1	True	1	1	0	0	1	0	0	283.6807	44.6314	0.1573	1	6
Hmgb1	True	1	1	1	0	0	0	0	173.4182	4.3926	0.0253	0	6
Hmgb3	True	1	1	1	0	0	0	0	0.4788	6.3778	13.3207	0	6
Hmgn2	True	10	10	5	0	0	5	0	2.8763	30.0215	104.3745	0	2
Hmox1	True	1	1	0	0	1	0	0	402.9696	455.2375	1.1297	1	6
Hnrnpdl	True	1	0	0	0	0	0	1	343.6086	0.0000	0.0000	0	6
Hnrnpf	True	1	1	0	0	1	0	0	573.8670	131.4587	0.2291	1	6
Hnrnph1	True	1	1	0	0	1	0	0	841.7684	89.8783	0.1068	1	6
Hnrnpl	True	1	1	0	0	1	0	0	173.9859	819.7270	4.7115	1	6
Hprt1	True	5	5	3	0	2	0	0	14.9393	84.0657	28.1357	2	6
Hsbp1	True	1	1	0	0	1	0	0	1512.3563	2397.3125	1.5852	1	6
Hsd17b10	True	1	1	0	0	1	0	0	3226.9577	1964.2636	0.6087	1	6
Hsd17b6	True	1	1	0	0	0	1	0	160.4831	26.1083	0.1627	1	6
Hsp90aa1	True	1	1	0	0	1	0	0	458.4450	1864.4854	4.0670	1	6
Hsp90ab1	True	1	1	0	0	1	0	0	2068.7867	2238.3454	1.0820	1	6
Hspe1	True	8	8	1	0	7	0	0	364.2269	89.5310	1.9665	7	6
Hypk	True	1	0	0	0	0	0	1	507.1851	0.0000	0.0000	0	6
Id4	True	1	1	0	0	0	1	0	551.2229	1.3740	0.0025	0	6
Idh3a	True	1	1	0	0	1	0	0	76.2949	897.7592	11.7670	1	6
Idi1	True	3	3	0	0	3	0	0	639.3865	247.4219	1.1609	3	6
Ifi16	True	1	1	0	0	1	0	0	81.2907	148.8191	1.8307	1	6
Ifi27l2	True	1	1	0	0	1	0	0	169.8621	4424.2831	26.0463	1	6
Ifit1	True	3	3	3	0	0	0	0	16.9660	44.8958	7.9387	0	6
Ifitm3	True	3	3	3	0	0	0	0	599.1201	1276.5950	6.3923	0	6
Ifnb1	True	1	1	0	0	0	1	0	3.1600	1.6947	0.5363	0	6
Ifng	True	1	1	0	0	0	1	0	0.9953	0.0537	0.0539	0	3
Ifnl3	True	2	0	0	0	0	0	2	0.0000	0.0000		0	0
Ifnw1	True	1	1	0	0	0	1	0	0.5726	0.0328	0.0572	0	4
Igbp1	True	3	3	2	0	1	0	0	77.0632	156.0635	6.0754	1	6
Ighv2-5	True	1	1	0	0	0	1	0	0.2526	1.9304	7.6411	1	1
Ik	True	1	1	0	0	1	0	0	86.2098	1963.4756	22.7756	1	6
Il13ra1	True	1	1	0	0	1	0	0	37.4734	317.6625	8.4770	1	6
Ilf2	True	1	1	0	0	1	0	0	321.1350	1092.1629	3.4009	1	6
Immp1l	True	1	1	1	0	0	0	0	37.1506	144.6877	3.8946	0	6
Ino80c	True	3	3	0	0	2	1	0	25.5790	93.4295	10.9578	3	6
Ipo5	True	1	1	0	0	1	0	0	81.0280	340.7822	4.2057	1	6
Iqcf5	True	1	1	0	0	0	1	0	0.0976	1.1986	12.2797	0	2
Isca1	True	1	1	0	0	1	0	0	364.9457	143.6395	0.3936	1	6
Ist1	True	1	1	0	0	1	0	0	48.4101	305.0297	6.3010	1	6
