Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
human_GO_bp_2025.gmt,B Cell Receptor Signaling Pathway (GO:0050853),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,PLCG2
human_GO_bp_2025.gmt,Bicellular Tight Junction Assembly (GO:0070830),2/16,0.3026516261165659,0.6915159365043801,2.3350543979347225,2.790793698448824,ECT2;PDCD6IP
human_GO_bp_2025.gmt,Bile Acid and Bile Salt Transport (GO:0015721),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,CEACAM1
human_GO_bp_2025.gmt,Binding of Sperm to Zona Pellucida (GO:0007339),1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,VDAC2
human_GO_bp_2025.gmt,Biogenic Amine Metabolic Process (GO:0006576),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,SULT1B1
human_GO_bp_2025.gmt,Blood Vessel Endothelial Cell Migration (GO:0043534),1/6,0.3482121251529303,0.7014344967109387,3.6909867080624816,3.8937821774217376,MYH9
human_GO_bp_2025.gmt,Blood Vessel Endothelial Cell Proliferation Involved in Sprouting Angiogenesis (GO:0002043),1/2,0.1329297557015066,0.6579351544822044,13.542155816435432,27.32718265313555,BMPER
human_GO_bp_2025.gmt,Bone Development (GO:0060348),3/9,0.019906034270097465,0.42874535350979154,7.317421056970896,28.660379871657998,SBDS;GJA1;GNAS
human_GO_bp_2025.gmt,Brain Development (GO:0007420),2/66,0.9476696218695422,0.9729871445072303,0.5207892882311487,0.027992079274211133,SHROOM2;UBE3A
human_GO_bp_2025.gmt,C21-steroid Hormone Biosynthetic Process (GO:0006700),1/1,0.06882888171411798,0.6109842574255044,40.63287086446105,108.73891905550649,CYP11B1
human_GO_bp_2025.gmt,C21-steroid Hormone Metabolic Process (GO:0008207),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,CYP11B1
human_GO_bp_2025.gmt,CENP-A Containing Chromatin Assembly (GO:0034080),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,CENPI
human_GO_bp_2025.gmt,COPII Vesicle Coating (GO:0048208),1/10,0.5101278301715297,0.737352910867403,2.135538954108858,1.437418322826163,KLHL12
human_GO_bp_2025.gmt,COPII-coated Vesicle Budding (GO:0090114),1/19,0.7425141714316145,0.8535646780093632,1.0950705240993395,0.32601708397466006,KLHL12
human_GO_bp_2025.gmt,CRD-mediated mRNA Stabilization (GO:0070934),1/8,0.434927768409778,0.7199817787864567,2.7058697972251866,2.2528403887996764,SYNCRIP
human_GO_bp_2025.gmt,Calcium Ion Homeostasis (GO:0055074),1/26,0.8439614725352593,0.9128943080403468,0.7935840291292611,0.1346302878550709,CCL3
human_GO_bp_2025.gmt,Calcium Ion Import (GO:0070509),1/11,0.543894738997155,0.7549813657467591,1.9318493672815977,1.1764953863382994,TRPV2
human_GO_bp_2025.gmt,Calcium Ion Import Across Plasma Membrane (GO:0098703),1/7,0.39311349314694843,0.7187522822462863,3.1226500287332732,2.9154838148419593,TRPV2
human_GO_bp_2025.gmt,Calcium Ion Import Into Cytosol (GO:1902656),1/7,0.39311349314694843,0.7187522822462863,3.1226500287332732,2.9154838148419593,TRPV2
human_GO_bp_2025.gmt,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),3/23,0.20802661807548062,0.6725999495517755,2.315034114971375,3.6348101447776218,TRPV2;PLCL1;PLCG2
human_GO_bp_2025.gmt,Calcium Ion Transmembrane Transport (GO:0070588),1/21,0.7768339917642173,0.8745517655702848,0.9879220136918552,0.24947856723000636,TRPV2
human_GO_bp_2025.gmt,Calcium Ion Transport (GO:0006816),2/33,0.6737885886802788,0.8157667157041159,1.071980307274425,0.42325950810842317,TRPV2;CCL3
human_GO_bp_2025.gmt,Calcium-Dependent Cell-Cell Adhesion via Plasma Membrane Cell Adhesion Molecules (GO:0016339),5/16,0.003496046704999555,0.23628453592410784,6.522160340712313,36.89013760207122,PCDHB4;PCDHB2;PCDHB3;PCDHB11;PCDHB16
